Date,Price
17.03.2020,4944.702336
18.03.2020,5465.582594
19.03.2020,5363.822853
20.03.2020,6301.063404
21.03.2020,6185.279839
22.03.2020,6187.05375
23.03.2020,5884.340133
24.03.2020,6455.454688
25.03.2020,6784.318011
26.03.2020,6706.985089
27.03.2020,6721.495392
28.03.2020,6682.780049
29.03.2020,6229.488343
30.03.2020,5922.489835
31.03.2020,6483.739446
1.04.2020,6446.421347
2.04.2020,6537.336462
3.04.2020,6850.558712
4.04.2020,6776.370094
5.04.2020,6855.933264
6.04.2020,6805.362287
7.04.2020,7278.24397
8.04.2020,7175.667477
9.04.2020,7367.293398
10.04.2020,7321.816614
11.04.2020,6866.398189
12.04.2020,6873.848495
13.04.2020,7043.438864
14.04.2020,6889.863772
15.04.2020,6887.554908
16.04.2020,6718.79995
17.04.2020,7166.582817
18.04.2020,7065.082389
19.04.2020,7277.140586
20.04.2020,7185.870303
21.04.2020,6856.146435
22.04.2020,6904.475773
23.04.2020,7118.388748
24.04.2020,7562.032832
25.04.2020,7497.861764
26.04.2020,7542.303401
27.04.2020,7624.853786
28.04.2020,7776.507543
29.04.2020,7761.758784
30.04.2020,8773.106488
1.05.2020,8767.672623
2.05.2020,8853.774484
3.05.2020,8963.057558
4.05.2020,8904.713817
5.05.2020,8887.505893
6.05.2020,8978.283587
7.05.2020,9371.684273
8.05.2020,9900.678867
9.05.2020,9917.248414
10.05.2020,9617.518195
11.05.2020,8786.655182
12.05.2020,8608.125245
13.05.2020,8815.231245
14.05.2020,9330.986485
15.05.2020,9757.296586
16.05.2020,9362.635557
17.05.2020,9418.918551
18.05.2020,9684.701959
19.05.2020,9723.68015
20.05.2020,9719.480854
21.05.2020,9540.886567
22.05.2020,9141.150637
23.05.2020,9192.845136
24.05.2020,9220.075887
25.05.2020,9048.715119
26.05.2020,8905.781605
27.05.2020,8835.727224
28.05.2020,9112.979176
29.05.2020,9507.524665
30.05.2020,9425.281869
31.05.2020,9688.32439
1.06.2020,9427.670084
2.06.2020,10268.58198
3.06.2020,9516.135443
4.06.2020,9667.060754
5.06.2020,9811.367095
6.06.2020,9659.661298
7.06.2020,9677.050995
8.06.2020,9737.458559
9.06.2020,9791.9279
10.06.2020,9786.14202
11.06.2020,9874.967048
12.06.2020,9260.832641
13.06.2020,9464.228097
14.06.2020,9458.659754
15.06.2020,9351.953728
16.06.2020,9441.768996
17.06.2020,9510.660637
18.06.2020,9457.627074
19.06.2020,9398.642094
20.06.2020,9279.760765
21.06.2020,9353.078196
22.06.2020,9289.104491
23.06.2020,9680.947128
24.06.2020,9609.680246
25.06.2020,9311.136318
26.06.2020,9252.633372
27.06.2020,9171.732086
28.06.2020,9022.153768
29.06.2020,9101.850057
30.06.2020,9188.061375
1.07.2020,9148.444859
2.07.2020,9236.31677
3.07.2020,9097.797366
4.07.2020,9094.324561
5.07.2020,9124.653534
6.07.2020,9055.464483
7.07.2020,9278.805637
8.07.2020,9244.415815
9.07.2020,9471.759973
10.07.2020,9236.143254
11.07.2020,9243.175259
12.07.2020,9229.859755
13.07.2020,9286.737042
14.07.2020,9238.993755
15.07.2020,9260.47098
16.07.2020,9211.026433
17.07.2020,9133.77783
18.07.2020,9160.410591
19.07.2020,9176.68639
20.07.2020,9190.271534
21.07.2020,9172.588333
22.07.2020,9395.064446
23.07.2020,9530.790885
24.07.2020,9617.377861
25.07.2020,9568.974726
26.07.2020,9708.94914
27.07.2020,9938.951223
28.07.2020,11187.77973
29.07.2020,10939.67014
30.07.2020,11284.45899
31.07.2020,11118.91841
1.08.2020,11373.31726
2.08.2020,11766.7483
3.08.2020,11139.09838
4.08.2020,11261.80633
5.08.2020,11228.02632
6.08.2020,11653.40759
7.08.2020,11796.81736
8.08.2020,11639.93541
9.08.2020,11744.91208
10.08.2020,11673.12324
11.08.2020,11832.22731
12.08.2020,11340.58234
13.08.2020,11549.54631
14.08.2020,11752.16866
15.08.2020,11783.28341
16.08.2020,11895.62695
17.08.2020,11896.94717
18.08.2020,12399.11188
19.08.2020,12071.73891
20.08.2020,11749.82951
21.08.2020,11833.89735
22.08.2020,11583.13894
23.08.2020,11674.62435
24.08.2020,11666.41012
25.08.2020,11744.0127
26.08.2020,11378.72603
27.08.2020,11458.8226
28.08.2020,11302.12096
29.08.2020,11482.22569
30.08.2020,11515.04443
31.08.2020,11657.00393
1.09.2020,11678.37326
2.09.2020,11964.20867
3.09.2020,11427.7026
4.09.2020,10712.92065
5.09.2020,10563.89694
6.09.2020,10042.85485
7.09.2020,10207.605
8.09.2020,10381.77611
9.09.2020,10043.19644
10.09.2020,10268.46092
11.09.2020,10341.01598
12.09.2020,10380.5396
13.09.2020,10436.36541
14.09.2020,10313.06858
