USD/TL,Cases
6.6149,2.318
6.7024,2.456
6.6137,2.786
6.6137,3.013
6.6137,3.135
6.7291,3.148
6.7801,3.892
6.755,4.117
6.7737,4.056
6.6746,4.747
6.6746,5.138
6.6746,4.789
6.7033,4.093
6.7723,4.062
6.8153,4.281
6.9118,4.801
6.9397,4.353
6.9397,3.783
6.9397,3.977
6.9314,4.674
6.9394,4.611
6.9812,3.083
6.9797,3.116
6.9395,3.122
6.9395,2.861
6.9395,2.357
6.9707,2.131
6.9862,2.392
6.9868,2.936
6.9521,2.615
6.9866,2.188
6.9866,1.983
6.9866,1.67
7.0158,1.614
7.0442,1.832
7.0745,2.253
7.1954,1.977
7.1195,1.848
7.1195,1.546
7.1195,1.542
7.0844,1.114
7.0713,1.704
6.9971,1.639
6.9745,1.635
6.9221,1.708
6.9221,1.61
6.9221,1.368
6.8991,1.158
6.885,1.022
6.7775,0.972
6.7907,0.961
6.7923,0.952
6.7923,1.186
6.7923,1.141
6.8146,0.987
6.8101,0.948
6.728,1.035
6.7733,1.182
6.8157,1.141
6.8157,0.983
6.8157,0.839
6.8221,0.827
6.8143,0.786
6.7048,0.867
6.7439,0.988
6.7557,0.93
6.7557,0.878
6.7557,0.914
6.7673,0.989
6.7888,0.993
6.7965,0.922
6.7768,0.987
6.8415,1.195
6.8415,1.459
6.8415,1.562
6.8136,1.592
6.8362,1.467
6.8442,1.429
6.8448,1.304
6.8563,1.214
6.8563,1.248
6.8563,1.192
6.8478,1.212
6.8491,1.268
6.8515,1.492
6.8563,1.458
6.8548,1.396
6.8548,1.372
6.8548,1.356
6.8539,1.374
6.8549,1.293
6.8534,1.192
6.848,1.186
6.8509,1.172
6.8509,1.154
6.8509,1.148
6.8618,1.086
6.8605,1.053
6.8595,1.041
6.8605,1.024
6.8618,1.003
6.8618,1.016
6.8618,1.012
6.8677,1.008
6.8602,0.992
6.8639,0.947
6.8558,0.933
6.8573,0.926
6.8573,0.918
6.8573,0.924
6.8586,0.931
6.8577,0.928
6.8247,0.902
6.851,0.913
6.8433,0.937
6.8433,0.921
6.8433,0.927
6.8468,0.919
6.8625,0.963
6.9363,0.942
6.9832,0.967
6.9974,0.982
6.9974,0.996
6.9974,0.987
6.9745,0.995
6.9576,1.083
6.9015,1.178
7.0475,1.153
7.2396,1.185
7.2396,1.172
7.2396,1.182
7.2898,1.193
7.3351,1.183
7.2182,1.212
7.3328,1.243
7.3383,1.226
7.3383,1.256
7.3383,1.192
7.375,1.233
7.3839,1.263
7.3736,1.303
7.2923,1.412
7.2986,1.203
7.2986,1.309
7.2986,1.217
7.3332,1.443
7.3783,1.502
7.3932,1.313
7.3703,1.491
7.3604,1.517
7.3604,1.549
7.3604,1.482
7.3314,1.587
7.3513,1.572
7.3694,1.596
7.386,1.642
7.4352,1.612
7.4352,1.673
7.4352,1.578
7.436,1.703
7.4577,1.761
7.485,1.673
7.4889,1.512
7.4502,1.671
7.4502,1.509
7.4502,1.527
7.472,1.716
7.4879,1.742
7.4892,1.771
7.5052,1.648
7.5503,1.771
7.5503,1.538
7.5503,1.519
7.5608,1.743
7.6318,1.692
7.6658,1.767
7.7005,1.721
7.6228,1.665
7.6228,1.511
7.6228,1.467
7.6648,1.412
7.8044,1.427
7.8189,1.391
7.7187,1.407
7.7498,1.442
7.7498,1.502
7.7498,1.429
7.7714,1.603
7.7639,1.511
7.7993,1.581
7.8847,1.615
7.9447,1.629
7.9447,1.649
7.9447,1.502
7.8602,1.614
7.89,1.632
7.9167,1.671
7.9118,1.693
7.9356,1.812
7.9356,1.723
7.9356,1.815
7.9353,2.026
7.8837,1.894
7.8663,2.013
7.8125,2.102
7.9351,2.165
7.9351,2.091
