X product,,,,,,,,,,,,,,,Y product,,,,,,,,,,,,,,,Z product,,,,,,,,,,,,,,,A product,,,,,,,,,,,,,,,B product,,,,,,,,,,,,,,,C product,,,,,,,,,,,,,,,D product,,,,,,,,,,,,,,,E product,,,,,,,,,,,,,,,F product,,,,,,,,,,,,,,,G product,,,,,,,,,,,,,,,H product,,,,,,,,,,,,,,
,Sales,Favorite count,Click count,Basket count,Stock,Price,Rating,Review,"""Notify me"" count",Variant(size),Remove from favorite,Impression,Gender,,,Sales,Favorite count,Click count,Basket count,Stock,Price,Rating,Review,"""Notify me"" count",Variant(size),Remove from favorite,Impression,Gender,,,Sales,Favorite count,Click count,Basket count,Stock,Price,Rating,Review,"""Notify me"" count",Variant(size),Remove from favorite,Impression,Gender,,,Sales,Favorite count,Click count,Basket count,Stock,Price,Rating,Review,"""Notify me"" count",Variant(size),Remove from favorite,Impression,Gender,,,Sales,Favorite count,Click count,Basket count,Stock,Price,Rating,Review,"""Notify me"" count",Variant(size),Remove from favorite,Impression,Gender,,,Sales,Favorite count,Click count,Basket count,Stock,Price,Rating,Review,"""Notify me"" count",Variant(size),Remove from favorite,Impression,Gender,,,Sales,Favorite count,Click count,Basket count,Stock,Price,Rating,Review,"""Notify me"" count",Variant(size),Remove from favorite,Impression,Gender,,,Sales,Favorite count,Click count,Basket count,Stock,Price,Rating,Review,"""Notify me"" count",Variant(size),Remove from favorite,Impression,Gender,,,Sales,Favorite count,Click count,Basket count,Stock,Price,Rating,Review,"""Notify me"" count",Variant(size),Remove from favorite,Impression,Gender,,,Sales,Favorite count,Click count,Basket count,Stock,Price,Rating,Review,"""Notify me"" count",Variant(size),Remove from favorite,Impression,Gender,,,Sales,Favorite count,Click count,Basket count,Stock,Price,Rating,Review,"""Notify me"" count",Variant(size),Remove from favorite,Impression,Gender,
1,14,11,427,17,2,4,10,9,3,"S,M,L,XL",3,978,Male,,1,0,0,245,3,11,6,6,0,4,Y,0,599,Female,,1,1,1,388,3,16,8,5,1,0,"S,M,L,XL",4,632,Male,,1,20,1,451,24,9,30,9,4,5,A,15,634,Female,,1,0,0,497,29,12,4,6,0,3,B,9,518,Male,,1,9,7,21,22,2,35,8,5,0,L,1,531,Female,,1,6,4,78,7,10,400,5,2,4,K,4,389,Male,,1,19,17,453,15,11,200,5,18,3,C,10,721,Female,,1,7,5,136,12,18,150,5,3,4,D,6,142,Male,,1,3,1,1398,118,137,10,7,1,49,B,38,1809,Male,,1,59,23,541,171,178,20,8,39,9,A,78,1845,Female,
2,8,6,149,9,3,4,8,4,5,"S,M,L,XL",14,347,Male,,2,9,6,50,22,9,6,6,7,5,Y,9,314,Female,,2,7,4,130,19,13,8,10,3,1,"S,M,L,XL",2,468,Male,,2,10,7,299,28,15,30,7,4,1,A,9,395,Female,,2,2,1,411,2,13,4,9,1,3,B,2,566,Male,,2,14,9,360,17,9,35,7,10,1,L,14,743,Female,,2,2,1,466,14,2,400,8,2,0,K,8,469,Male,,2,10,5,204,30,18,200,6,7,3,C,4,927,Female,,2,14,14,308,27,17,150,6,14,0,D,15,732,Male,,2,121,37,414,141,144,10,9,50,15,B,15,1174,Male,,2,74,36,1766,119,192,20,7,52,19,A,52,3774,Female,
3,12,12,237,23,13,4,9,0,1,"S,M,L,XL",0,237,Male,,3,8,4,306,27,15,6,9,3,4,Y,14,510,Female,,3,11,10,138,27,19,8,7,1,5,"S,M,L,XL",4,304,Male,,3,0,0,134,23,8,30,10,0,4,A,0,381,Female,,3,24,20,62,24,10,4,7,19,2,B,14,250,Male,,3,9,8,30,12,18,35,8,8,5,L,12,130,Female,,3,4,1,245,11,9,400,7,3,3,K,1,473,Male,,3,14,6,144,17,13,200,8,1,2,C,10,708,Female,,3,0,0,72,18,16,150,8,0,3,D,2,535,Male,,3,103,65,1635,148,22,10,10,50,33,B,31,3084,Male,,3,16,7,510,160,175,20,10,4,24,A,27,4695,Female,
4,1,0,46,14,18,4,5,0,5,"S,M,L,XL",1,434,Male,,4,7,2,353,18,16,6,6,5,2,Y,8,441,Female,,4,13,5,263,13,10,8,9,2,1,"S,M,L,XL",14,777,Male,,4,16,11,45,27,16,30,10,6,3,A,8,454,Female,,4,27,13,408,27,20,4,6,24,0,B,11,541,Male,,4,7,3,217,26,4,35,6,4,2,L,9,438,Female,,4,1,1,97,10,10,400,7,0,3,K,10,440,Male,,4,3,1,382,9,17,200,8,1,1,C,12,899,Female,,4,11,5,260,5,5,150,7,1,0,D,0,282,Male,,4,91,15,423,134,62,10,7,73,15,B,30,3090,Male,,4,88,40,351,199,123,20,8,5,16,A,84,3673,Female,
5,2,2,412,24,20,4,8,0,1,"S,M,L,XL",0,741,Male,,5,6,5,23,19,20,6,7,3,1,Y,8,292,Female,,5,12,11,397,18,7,8,10,3,5,"S,M,L,XL",8,670,Male,,5,14,8,95,18,14,30,5,0,1,A,2,303,Female,,5,4,0,436,26,5,4,6,3,1,B,0,518,Male,,5,0,0,184,19,9,35,10,0,0,L,10,651,Female,,5,3,3,128,7,5,400,7,1,0,K,9,147,Male,,5,7,2,489,12,13,200,8,5,4,C,10,580,Female,,5,14,14,314,12,5,150,6,3,5,D,3,420,Male,,5,111,47,975,147,85,10,7,60,21,B,14,1316,Male,,5,146,18,617,146,85,20,8,133,38,A,39,4524,Female,
6,1,1,462,29,6,4,6,1,0,"S,M,L,XL",4,629,Male,,6,10,0,211,10,14,6,6,8,3,Y,9,317,Female,,6,10,9,41,22,5,8,10,7,2,"S,M,L,XL",4,298,Male,,6,24,21,411,26,20,30,5,11,5,A,15,533,Female,,6,3,2,385,12,10,4,5,3,3,B,2,534,Male,,6,13,10,195,27,14,35,5,13,5,L,12,316,Female,,6,6,3,126,10,7,400,10,6,1,K,0,391,Male,,6,14,1,190,20,14,200,5,13,3,C,15,618,Female,,6,13,8,344,20,11,150,8,1,2,D,11,852,Male,,6,127,63,1628,149,148,10,8,94,40,B,35,2373,Male,,6,51,37,1767,112,132,20,10,20,40,A,95,3582,Female,
7,7,6,183,26,2,4,7,4,4,"S,M,L,XL",15,920,Male,,7,10,0,391,11,12,6,7,10,4,Y,12,568,Female,,7,5,4,321,23,5,8,8,5,2,"S,M,L,XL",6,735,Male,,7,20,10,418,29,6,30,8,11,4,A,4,606,Female,,7,7,7,385,27,2,4,6,7,4,B,0,493,Male,,7,9,5,378,18,19,35,8,5,0,L,5,738,Female,,7,3,3,242,3,9,400,8,3,1,K,7,357,Male,,7,12,1,241,14,9,200,9,6,4,C,9,926,Female,,7,9,8,477,8,12,150,8,2,4,D,4,508,Male,,7,54,1,1813,139,144,10,8,31,10,B,48,2872,Male,,7,71,6,369,131,9,20,8,4,3,A,8,4538,Female,
8,5,0,297,17,10,4,6,5,0,"S,M,L,XL",15,1000,Male,,8,4,1,427,14,20,6,6,4,5,Y,4,509,Female,,8,7,1,404,19,13,8,10,4,4,"S,M,L,XL",6,528,Male,,8,18,18,324,27,9,30,8,8,4,A,5,395,Female,,8,6,6,188,15,2,4,10,1,5,B,12,409,Male,,8,1,1,274,21,18,35,7,0,5,L,0,779,Female,,8,5,0,140,11,5,400,9,2,4,K,15,360,Male,,8,25,22,362,21,20,200,10,16,5,C,4,402,Female,,8,6,0,450,20,10,150,10,1,1,D,5,478,Male,,8,148,34,1290,148,28,10,7,7,11,B,53,2568,Male,,8,149,108,934,226,172,20,8,138,37,A,91,3763,Female,
9,3,3,68,17,20,4,6,1,3,"S,M,L,XL",7,774,Male,,9,7,5,381,19,3,6,10,4,4,Y,5,465,Female,,9,7,6,495,30,17,8,8,0,0,"S,M,L,XL",7,544,Male,,9,8,6,436,12,4,30,9,8,1,A,5,603,Female,,9,27,0,409,27,14,4,10,15,4,B,0,579,Male,,9,13,6,223,28,7,35,9,13,2,L,5,339,Female,,9,6,5,180,6,2,400,6,5,3,K,6,453,Male,,9,2,2,406,22,18,200,7,0,1,C,10,618,Female,,9,2,0,164,27,19,150,10,2,1,D,15,856,Male,,9,131,99,348,148,40,10,10,78,28,B,4,2623,Male,,9,135,28,138,229,129,20,10,133,13,A,15,1436,Female,
10,2,0,75,29,17,4,9,0,5,"S,M,L,XL",6,340,Male,,10,1,1,247,24,4,6,7,0,5,Y,3,578,Female,,10,5,4,490,12,13,8,10,3,3,"S,M,L,XL",7,612,Male,,10,10,6,226,22,20,30,6,0,0,A,11,552,Female,,10,6,4,414,10,9,4,6,4,1,B,11,576,Male,,10,10,3,56,18,11,35,6,4,0,L,14,256,Female,,10,6,0,438,7,5,400,9,6,4,K,13,485,Male,,10,18,13,380,12,6,200,7,7,5,C,5,445,Female,,10,6,2,77,18,11,150,5,0,0,D,3,314,Male,,10,104,68,1186,147,108,10,6,68,50,B,28,3039,Male,,10,138,132,184,247,22,20,10,75,19,A,13,1499,Female,
